_id,ID,Option,Point,Comment
658bbd02f6a7a54f2506c690,wkdu****,선택 옵션\n갤럭시노트20 울트라 256GB,4,"핸드폰 기기 하나만 봤을때는 사용감이 느껴지지 않고 새것같은 품질에서는 정말 만족스럽습니다. \n고객센터 상담사의 친절하고 빠른답변, 배송 빨리와서 좋았습니다~~\n사은품으로 필름, 충전기선, 투명젤리느낌 케이스가 같이 오는데 핸드폰기기만 생각하고 구매하는거면 정말 만족이네여~ㅎㅎ 케이스는 다른곳에서 튼튼한걸로 구매하는게 좋아서 다른곳에서 구매했습니다~"
658bbd02f6a7a54f2506c692,jsa0****,선택 옵션\n갤럭시노트20 울트라 256GB,5,거의새것 같아서 만족합니다\n아쉬운건 통신사가 KT인데 LG유플 폰으로 왔다는거..\n미리 통신사를 언급할걸 그랬나봐요..
658bbd02f6a7a54f2506c694,chri********,선택 옵션\n갤럭시노트20 울트라 256GB,5,갤럭시노트20 울트라 2개를 주문했어요. \n새 것 같은 너무나 좋은 상품을 보내 주셨어요. 아들도 정말 만족해합니다.\n정말 감사 드립니다. \n잘 쓰고 휴대폰이 필요해질 때 폰마블 기억했다 다시 재주문 하겠습니다.^^*
658bbd02f6a7a54f2506c696,kmjl*******,선택 옵션\n갤럭시노트20 울트라 256GB,5,여러군데 보고 고민하다 폰마블로 결정하고 S급 주문했어요!\n윗부분에 살짝 흠집난거 말고는 다 깨끗해서 새폰 같고 배터리 성능도 좋다네요\n정상적으로 개통해서 쓰고 있습니다 잘 쓸게요~\n상담원분도 친절하고 전체적으로 만족합니다!!
658bbd02f6a7a54f2506c698,amed****,선택 옵션\n갤럭시노트20 울트라 256GB,5,깨끗하고 큰흠 없어요. 기능 테스트 해봤는데 이상 없네요. 카툭튀다보니 튀어나온 부분에 작은 흠 있고 팬에  좀 흠있어요. 대체로 만족합니다.
658bbd02f6a7a54f2506c69a,oroi****,선택 옵션\n갤럭시노트20 울트라 256GB,4,처음에 유심을 인식을못해서 삼성서비스방문하여 메인불량이다. 라고 센타 엔지니어분이 말씀하셔서 업체에 문의하였는데 상담도 매우친절하고 좋은답변을받았네요.\n집에 다시돌아와서 초기화후 다시 이전폰에서 자료 다운후 해보니 유심칩 인식되어 잘사용하고있어요.\n번창하시길 바랍니다.
658bbd02f6a7a54f2506c69c,icec***************************,선택 옵션\n갤럭시노트20 울트라 256GB,5,새폰처럼 정말 깨끗하고 좋아요 받자마자 보고 새 폰인줄 알았네요 기능도 사용하는데 지장없네요\n중고폰은 처음이라 걱정 많이했는데 평도좋고\n응대도 잘해주셔서 원하는 폰 기다리는데 잘 기다릴수 있었습니다 완전 만족합니다
658bbd02f6a7a54f2506c69e,wldn***,선택 옵션\n갤럭시노트20 울트라 256GB,5,전에 다른 곳에서 폰 구매했을 때 락이 걸려있어 반품 후 다시 받은적이 있는데 이번엔 요청사항도 잘 들어주시고 빠른 기간내에 좋은 제품 잘 받았습니다!\n번창하세요!
658bbd02f6a7a54f2506c6a0,tmdw******,선택 옵션\n갤럭시노트20 울트라 256GB,3,화이트 색상이 없다 하여 굳이 블랙색상으로 변경해가며\n상품을 받았는데 배터리성능 최악이네요\n100퍼 완충하고 반나절 지나니까 40%까지 떨어지네요\n동영상 좀 보면 더 빨리 떨어집니다\nS급이라면서 외관만 기준으로 하시는건 좀... 아닌거 같네요\n배터리 성능이 안좋으면 외관이 S급이어도\n판매상품 급을 내려야 하는거 아닌지요..\n쌩돈 들여서 배터리 교체해야 할 판이니\n분하네요.... 폰마블에서 처음 구매한 것도 아닌데...\n하... 실망입니다
658bbd02f6a7a54f2506c6a2,inwo***,선택 옵션\n갤럭시노트20 울트라 256GB,5,좋은 상품 보내주셔서 감사합니다 잔상도 없고 배터리 상태도 괜찮네요. 잘쓸게요 ㅎㅎ
658bbd03f6a7a54f2506c6a4,ayan****,선택 옵션\n갤럭시노트20 울트라 256GB,5,특 S급인데ㅡ정말 눈에 띄는 기스 별로 없이 너무 좋네요\n요청드린대로 통신사도 맞춰주셨고요\n폰마블 두번째 구매인데 재구매각입니다 :)
658bbd03f6a7a54f2506c6a6,znfn*****,선택 옵션\n갤럭시노트20 울트라 256GB,4,아이가 필요해서 구매했는데 원하는 색상이 없다고 전화주셔서 다른색상 골랐는데 재입고 됐다고 다시 연락주셔서 원하는 색상으로 사게됐네요~ 누락된 것도 연락드렸더니 바로 보내주시고요~~~ 아이가 좋아하고 잘 쓰고 있습니다~~~^^
658bbd03f6a7a54f2506c6a8,czhs*,선택 옵션\n갤럭시노트20 울트라 256GB,5,색상랜덤으로 신청했는데 빨간색으로 보내주셨엉\n찍힘 많이없고\n\n사용하는데 괜찮은거같아요\n\n잘쓸께요
658bbd03f6a7a54f2506c6aa,dbst*******,선택 옵션\n갤럭시노트20 울트라 256GB,3,성능은 양호한거 같음. 하지만 s급을 주문했는데도 기기하단 테두리부분에 완전깍여나간거같은 흔적이 전체로 길게 있음.\n그거하나가 젤 실망임. 비싼돈주고 산건데.. 케이스쓰면 보이진않으니 그냥쓸려고 함.
658bbd03f6a7a54f2506c6ac,ikse*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,A급 외관은 실망스러웠는데 S급은 새거라고 해도 믿겠네요 비싸게 새폰 살필요 없겠어요
658bbd03f6a7a54f2506c6ae,92ru****,선택 옵션\n갤럭시노트20 울트라 256GB,5,"주문 다음 날 바로 왔고요, 알뜰포 요금제 이용하는데 혹시나 했지만 잘되네요 폰 상태 매우 양호합니다. 새거라고 해도 믿겠어요 "
658bbd03f6a7a54f2506c6b0,경동맨,선택 옵션\n갤럭시노트20 울트라 256GB,5,s급으로 구매하였는데\n잔잔한 기스가 있어도 괜찮습니다.\n마음에 드네요
658bbd03f6a7a54f2506c6b2,geo0***,선택 옵션\n갤럭시노트20 울트라 256GB,4,"갤럭시 노트20 울트라 잘 받았습니다.\nA급 상태에 만족\n자급제폰으로 잘 받음.\n색깔이 랜덤으로 오니,,, 그게 최대로 아쉬움.\n품질 보증 제대로 되는 것으로 이해됨"
658bbd03f6a7a54f2506c6b4,dong*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,며칠 사용해보니 배터리도 오래 가고 완전 만족중이예요 조금 무거운거 빼고는 굿~
658bbd03f6a7a54f2506c6b6,신바람강군,선택 옵션\n갤럭시노트20 울트라 256GB,4,SKT로 요청했지만.... KT로 온것 말고는 \n양호 합니다.... \n생각한 시간보다 2틀 정도 딜레이가 있었습니다. \n불량으로 인한 딜레이라고 하였던거 같내요. ㅎ 
658bbd03f6a7a54f2506c6b8,hotd******,선택 옵션\n갤럭시노트20 울트라 256GB,5,외관 깨끗하고 상태좋아요~~또구매할게요
658bbd03f6a7a54f2506c6ba,alsg*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,신랑 핸드폰 떨어트려 박살나서 바로 구매 했는데 \n하루만에 배송됐네요\n오래오래 잘 쓸수 있으면 좋겠네요
658bbd03f6a7a54f2506c6bc,youn*********,선택 옵션\n갤럭시노트20 울트라 256GB,5,깨끗하고 색상이없어 변경했지만 친절히 설명주었어요
658bbd03f6a7a54f2506c6be,s101**,선택 옵션\n갤럭시노트20 울트라 256GB,5,신상품 같이 깨끗하고 너무 좋습니다. 친절하게 답변해주시고 응대해 주셔서 감사합니다. 잘 쓸께요.
658bbd03f6a7a54f2506c6c0,baed**,선택 옵션\n갤럭시노트20 울트라 256GB,5,최고입니다... 장비도 완전 새거이구요^^.. 암튼 최고입니다
658bbd03f6a7a54f2506c6c2,flyj*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,기스 거의 없고 배송도 다음날 도착했어요\n박스가 없어서 아쉽지만 만족해요
658bbd03f6a7a54f2506c6c4,k3h3**,선택 옵션\n갤럭시노트20 울트라 256GB,5,한달이 넘었는데 아직 베터리에 문제는 없었습니다
658bbd03f6a7a54f2506c6c6,mpfr***,선택 옵션\n갤럭시노트20 울트라 256GB,5,처음 사보는 중고휴대폰\n중고라는 편견이 있었는데 좋네요\n잘쓸게요\n거의새거네요
658bbd03f6a7a54f2506c6c8,qkrw*****,선택 옵션\n갤럭시노트20 울트라 256GB,5,진짜 깨끗하게 좋은폰으로 배송이 도착했어요!\n폰상태도 좋고 잘쓸게요!!
658bbd03f6a7a54f2506c6ca,1276***************,선택 옵션\n갤럭시노트20 울트라 256GB,5,펜쪽에 찍힘말고 다른데기스 없네요
